Datetime,Open,High,Low,Close,Volume,Buy_Signal,Sell_Signal
2024-01-02,82900,83600,82200,83500,1785800,False,False
2024-01-03,83500,84500,82800,84500,1373000,False,False
2024-01-04,84500,86200,84000,85900,2657900,False,False
2024-01-05,85900,86200,85700,86200,1180300,False,False
2024-01-08,86300,86800,86300,86800,1607800,False,False
2024-01-09,86800,87900,86800,87800,1926400,False,False
2024-01-10,87800,89500,87200,89500,1795400,False,False
2024-01-11,89500,90000,88600,89300,1489100,False,False
2024-01-12,88100,89500,87400,88700,1909500,False,False
2024-01-15,89000,90100,88900,90000,1914200,False,False
2024-01-16,89000,90100,88900,90000,1367200,False,False
2024-01-17,89000,91000,89000,90900,1578200,False,False
2024-01-18,90900,91200,90000,91100,1422900,False,False
2024-01-19,91000,93000,90400,92600,1472600,False,False
2024-01-22,93500,93500,92000,92000,1046300,False,False
2024-01-23,92100,92400,90400,91500,1256900,False,False
2024-01-24,91600,92000,90900,91100,744700,False,False
2024-01-25,91100,91600,90700,91000,503300,False,False
2024-01-26,91600,92000,91400,92000,953100,False,False
2024-01-29,91800,92000,90900,91200,730500,False,False
2024-01-30,91200,91200,90100,91000,888600,False,False
2024-01-31,90600,90600,88500,88500,945600,False,False
2024-02-01,88000,90200,88000,89800,598100,False,False
2024-02-02,89100,90500,89100,90300,733000,False,False
2024-02-05,90200,90600,89400,90000,1949000,False,False
2024-02-06,90300,90600,89100,89500,1352300,False,False
2024-02-07,90000,90800,89300,90000,1371400,False,False
2024-02-15,90000,90700,89100,89900,1046700,False,True
2024-02-16,89900,90200,89500,89600,734100,False,False
2024-02-19,89900,90500,89300,90200,1045300,False,False
2024-02-20,90100,91400,89400,91300,1404300,False,False
2024-02-21,91700,91700,90500,91200,1367400,False,False
2024-02-22,90600,91000,89500,89500,1223900,False,False
2024-02-23,89500,91400,88900,88900,1800900,False,False
2024-02-26,88900,90000,88900,89500,722000,False,False
2024-02-27,89600,91200,89100,91100,1604900,False,False
2024-02-28,91000,97400,90400,97400,4219900,False,False
2024-02-29,98500,100500,97300,97300,1897000,False,False
2024-03-01,98200,98200,94900,97300,2379600,False,False
2024-03-04,98000,98000,95600,96000,1640400,False,False
2024-03-05,96600,96600,95200,95500,1364800,False,False
2024-03-06,95500,96800,95100,95600,2070600,False,False
2024-03-07,95900,97400,95500,95800,2362300,False,False
2024-03-08,95900,96500,95100,95100,2229600,False,False
2024-03-11,95100,96000,94100,94100,1840000,False,False
2024-03-12,94100,94900,94000,94400,1107000,False,False
2024-03-13,94900,96500,94300,96000,3124500,False,False
2024-03-14,96000,96100,94600,95000,2319300,False,False
2024-03-15,95000,95000,93900,94000,2302500,False,False
2024-03-18,94300,94500,92500,93000,1839300,False,False
2024-03-19,92500,93500,92500,92500,868500,False,False
2024-03-20,92500,94100,92500,93200,897700,True,False
2024-03-21,94000,95500,94000,95200,1452700,False,False
2024-03-22,95200,96800,95200,96400,1844100,False,False
2024-03-25,95000,96900,94100,95700,1368800,False,False
2024-03-26,96000,96600,95800,96300,735400,False,False
2024-03-27,96200,96200,95600,95800,1046200,False,False
2024-03-28,96200,96400,95600,95700,1232800,False,False
2024-03-29,95900,95900,94900,94900,801200,False,False
2024-04-01,94900,96000,94700,95200,1221000,False,False
2024-04-02,95100,95200,93900,94500,969000,False,False
2024-04-03,94400,94800,93800,93800,1321100,False,False
2024-04-04,94900,96000,94400,96000,2022700,False,False
2024-04-05,94800,95600,94200,94900,779200,False,False
2024-04-08,94900,95300,94200,94900,864100,False,False
2024-04-09,95000,95400,94200,94300,686800,False,True
2024-04-10,94300,94600,94100,94500,737400,False,False
2024-04-11,94000,94600,93500,94000,778000,False,False
2024-04-12,94500,95500,93800,94600,844800,True,False
2024-04-15,94600,96500,92000,92000,1900300,False,False
2024-04-16,93800,93800,90500,91000,1857700,False,False
2024-04-17,91200,92100,89500,90500,1452600,False,False
2024-04-19,90000,90900,89700,90500,1324800,False,False
2024-04-22,90500,91400,90200,90600,999100,False,False
2024-04-23,90600,91200,89200,90100,1562900,False,False
2024-04-24,91000,91100,90100,90600,1925200,False,False
2024-04-25,90600,92900,90500,91000,1235700,False,False
2024-04-26,91700,93300,91200,91200,1698300,False,False
2024-05-02,92100,92500,91100,91900,932400,False,False
2024-05-03,92400,93400,91800,92500,1470700,False,False
2024-05-06,92900,93300,92700,93000,1147200,False,False
2024-05-07,93400,94100,92900,92900,1154200,False,False
2024-05-08,92700,93200,92100,93000,1246000,False,False
2024-05-09,92900,93400,92300,92500,606600,False,False
2024-05-10,92700,92700,91700,92000,823400,False,False
2024-05-13,92100,92400,90500,91000,1232600,False,False
2024-05-14,91100,91600,90500,90600,818400,False,False
2024-05-15,91000,91300,90800,91000,883100,False,False
2024-05-16,92000,92700,91500,92600,1713900,True,False
2024-05-17,92600,92600,91700,91800,1084700,False,False
2024-05-20,92300,93000,91800,91900,1043800,False,False
2024-05-21,91900,92000,90700,91100,1486400,False,False
2024-05-22,91500,91700,90700,90700,1347700,False,False
2024-05-23,90700,91500,90500,91000,1317500,False,False
2024-05-24,91000,91000,90000,90200,2241500,False,False
2024-05-27,90400,90600,89700,90200,1058500,False,False
2024-05-28,89800,90700,89800,90700,1350100,False,False
2024-05-29,90800,91000,89800,89800,1186300,False,False
2024-05-30,89500,89700,88500,88600,2356000,False,False
2024-05-31,88700,89000,87200,87200,3921500,False,False
2024-06-03,88000,89300,88000,88200,2108600,False,False
2024-06-04,88900,89200,88300,88700,1814600,False,False
2024-06-05,88700,89500,88600,88800,1882800,False,False
2024-06-06,88900,89700,88800,89000,1699700,False,False
2024-06-07,89100,89700,88500,88500,1129500,False,False
2024-06-10,88900,89200,87900,88000,2641600,False,False
2024-06-11,88300,88400,87100,87200,2252400,False,False
